source_type,target_type,edge_type,weight,a1,b1,a2,b2
Disease,Gene,ASSOCIATES_DaG,4241843,6,5,5,3
Organism,EC,INCLUDES_OiEC,3916234,3,5,3,4
Organism,Pathway,INCLUDES_OiPW,1866743,3,5,2,4
Protein,Protein,INTERACTS_PiP,1648233,3,3,3,3
Anatomy,Gene,EXPRESSES_AeG,1585845,6,3,5,3
AnatomyCellType,Gene,EXPRESSES_ACTeG,709754,6,2,5,3
Compound,Protein,BINDS_CbP,621089,4,3,3,3

Anatomy,Gene,DOWNREGULATES_AdG,494481,6,3,5,3
Compound,Gene,UPREGULATES_CuG,469535,4,3,5,3
Compound,Gene,DOWNREGULATES_CdG,464166,4,3,5,3
Gene,Gene,UPREGULATES_KGuG,259742,5,3,5,3
Gene,Gene,DOWNREGULATES_KGdG,259742,5,3,5,3
Compound,SideEffect,CAUSES_CcSE,119165,4,3,4,2


Anatomy,Gene,UPREGULATES_AuG,85807,6,3,5,3
Disease,Disease,RESEMBLES_DrD,62984,6,5,6,5
Gene,Gene,UPREGULATES_OGuG,54958,5,3,5,3
Disease,Anatomy,LOCALIZES_DlA,39559,6,5,6,3
Reaction,Compound,PRODUCES_RpC,36992,4,4,4,3
Compound,Disease,TREATS_CtD,36987,4,3,6,5
Reaction,Compound,CONSUMES_RcC,34507,4,4,4,3
Protein,Gene,TRANSLATEDFROM_PtG,33073,3,3,5,3
Gene,Gene,DOWNREGULATES_OGdG,31972,5,3,5,3
Food,Compound,CONTAINS_FcC,31963,2,2,4,3
Disease,Symptom,PRESENTS_DpS,23879,6,5,7,5
Compound,Disease,CONTRAINDICATES_CcD,20171,4,3,6,5
Anatomy,Anatomy,ISA_AiA,18685,6,3,6,3
Anatomy,Anatomy,CONTAINS_AcA,18685,6,3,6,3
EC,Reaction,CATALYZES_ECcR,15658,3,4,4,4
Compound,Gene,AFFECTS_CamG,12548,4,3,5,3
Gene,Gene,UPREGULATES_GPuG,11828,5,3,5,3
Disease,Disease,ISA_DiD,10393,6,5,6,5
Disease,Disease,CONTAINS_DcD,10393,6,5,6,5
Pathway,EC,INCLUDES_PWiEC,9397,2,4,3,4
Anatomy,Anatomy,PARTOF_ApA,9233,6,3,6,3
Food,Nutrient,CONTAINS_FcN,8145,2,2,2,1
Gene,Gene,DOWNREGULATES_GPdG,7968,5,3,5,3
Organism,Organism,CONTAINS_OcO,7917,3,5,3,5
Organism,Organism,ISA_OiO,7917,3,5,3,5
PharmacologicClass,Compound,INCLUDES_PCiC,2592,3,2,4,3
EC,Protein,ISA_PiEC,2423,3,4,3,3
Pathway,Pathway,CONTAINS_PWcPW,1384,2,4,2,4
Pathway,Pathway,ISA_PWiPW,1384,2,4,2,4
Organism,Disease,CAUSES_OcD,571,3,5,6,5
SARSCov2,Protein,INTERACTS_CPiP,333,1,4,3,3
AnatomyCellType,Anatomy,ISIN_ACTiiA,102,6,2,6,3
AnatomyCellType,CellType,ISIN_ACTiiCT,102,6,2,6,1
Protein,Disease,INCREASEDIN_PiD,48,3,3,6,5
Organism,SARSCov2,ENCODES_OeP,27,3,5,1,4
Protein,Disease,DECREASEDIN_PdD,1,3,3,6,5
