type,label,weight
Compound,Compound,1967305
Protein,Protein,196097
Gene,Gene,19989
Reaction,Reaction,16320
Anatomy,Anatomy,14939
BiologicalProcess,BiologicalProcess,12898
Disease,Disease,10209
Organism,Organism,8109
EC,EC,6682
SideEffect,SideEffect,6061
MolecularFunction,MolecularFunction,3274
Pathway,Pathway,2128
CellularComponent,CellularComponent,1677
Food,Food,897
PharmacologicClass,PharmacologicClass,534
Symptom,Symptom,386
AnatomyCellType,AnatomyCellType,102
CellType,CellType,54
DatabaseTimestamp,DatabaseTimestamp,52
Nutrient,Nutrient,38
SARSCov2,SARSCov2,27
Version,Version,18
